zone_id,name,n_years,slope,tau,s,var_s,z,p,p_adjusted,significant,status
LK1103005,Sammanthranapura,12,-0.14109266916196916,-0.30303030303030304,-20.0,212.66666666666666,-1.302878414515109,0.19261627432960227,0.41746017432524696,False,ok
LK1103010,Mattakkuliya,12,-0.22255508523185785,-0.45454545454545453,-30.0,212.66666666666666,-1.9886038958388508,0.046744941053711075,0.297547435240223,False,ok
LK1103015,Modara,12,-0.28533933412588297,-0.45454545454545453,-30.0,212.66666666666666,-1.9886038958388508,0.046744941053711075,0.297547435240223,False,ok
LK1103020,Madampitiya,12,-0.3360671194107908,-0.5151515151515151,-34.0,212.66666666666666,-2.2628940883683475,0.023642218909198487,0.297547435240223,False,ok
LK1103025,Mahawatta,12,-0.24086413879845736,-0.36363636363636365,-24.0,212.66666666666666,-1.5771686070446058,0.11475673431864908,0.3716250059039973,False,ok
LK1103030,Aluthmawatha,12,-0.18794631083377367,-0.36363636363636365,-24.0,212.66666666666666,-1.5771686070446058,0.11475673431864908,0.3716250059039973,False,ok
LK1103035,Lunupokuna,12,-0.17152652848973893,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
LK1103040,Bloemendhal,12,-0.2620290104698031,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
LK1103045,Kotahena East,12,-0.1523840705086415,-0.2727272727272727,-18.0,212.66666666666666,-1.1657333182503609,0.24372228477217428,0.4421932007104269,False,ok
LK1103050,Kotahena West,12,-0.1281223891213905,-0.18181818181818182,-12.0,212.66666666666666,-0.7542980294561158,0.4506702853141802,0.5603199752678535,False,ok
LK1103055,Kochchikade North,12,-0.2200898073817295,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
LK1103060,Jinthupitiya,12,-0.1692255333766056,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
LK1103065,Masangasweediya,12,-0.20956684227567698,-0.36363636363636365,-24.0,212.66666666666666,-1.5771686070446058,0.11475673431864908,0.3716250059039973,False,ok
LK1103070,New Bazaar,12,-0.26030946768867064,-0.3939393939393939,-26.0,212.66666666666666,-1.714313703309354,0.08647112777407262,0.33447512618165587,False,ok
LK1103075,Grandpass South,12,-0.28569081882989444,-0.45454545454545453,-30.0,212.66666666666666,-1.9886038958388508,0.046744941053711075,0.297547435240223,False,ok
LK1103080,Grandpass North,12,-0.28039442235443524,-0.5151515151515151,-34.0,212.66666666666666,-2.2628940883683475,0.023642218909198487,0.297547435240223,False,ok
LK1103085,Nawagampura,12,-0.23606930588759384,-0.45454545454545453,-30.0,212.66666666666666,-1.9886038958388508,0.046744941053711075,0.297547435240223,False,ok
LK1103090,Maligawatta East,12,-0.2940475597497212,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1103095,Khettarama,12,-0.31110323628904213,-0.5454545454545454,-36.0,212.66666666666666,-2.400039184633096,0.016393316888809073,0.297547435240223,False,ok
LK1103100,Aluthkade East,12,-0.27647038496397414,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1103105,Aluthkade West,12,-0.29233220648142616,-0.3939393939393939,-26.0,212.66666666666666,-1.714313703309354,0.08647112777407262,0.33447512618165587,False,ok
LK1103110,Kochchikade South,12,-0.2695029075392708,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1103115,Pettah,12,-0.18091377810883272,-0.45454545454545453,-30.0,212.66666666666666,-1.9886038958388508,0.046744941053711075,0.297547435240223,False,ok
LK1103120,Fort,12,0.474157459684739,0.48484848484848486,32.0,212.66666666666666,2.125748992103599,0.03352416523500468,0.297547435240223,False,ok
LK1103125,Galle Face,12,-0.2892092320910826,-0.48484848484848486,-32.0,212.66666666666666,-2.125748992103599,0.03352416523500468,0.297547435240223,False,ok
LK1103130,Slave Island,12,-0.263335604261776,-0.36363636363636365,-24.0,212.66666666666666,-1.5771686070446058,0.11475673431864908,0.3716250059039973,False,ok
LK1103135,Hunupitiya,12,-0.2193645459237048,-0.30303030303030304,-20.0,212.66666666666666,-1.302878414515109,0.19261627432960227,0.41746017432524696,False,ok
LK1103140,Suduwella,12,-0.229011298098456,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
LK1103145,Keselwatta,12,-0.29977308535826186,-0.48484848484848486,-32.0,212.66666666666666,-2.125748992103599,0.03352416523500468,0.297547435240223,False,ok
LK1103150,Panchikawatta,12,-0.30922564367891037,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1103155,Maligawatta West,12,-0.24057992367314696,-0.30303030303030304,-20.0,212.66666666666666,-1.302878414515109,0.19261627432960227,0.41746017432524696,False,ok
LK1103160,Maligakanda,12,-0.17057814482086292,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1103165,Maradana,12,-0.23116074754360677,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
LK1103170,Ibbanwala,12,-0.23217713709840143,-0.2727272727272727,-18.0,212.66666666666666,-1.1657333182503609,0.24372228477217428,0.4421932007104269,False,ok
LK1103175,Wekanda,12,-0.15126863017294312,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1106005,Wadulla,12,-0.24417312334590352,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1106010,Sedawatta,12,-0.22288026553749418,-0.45454545454545453,-30.0,212.66666666666666,-1.9886038958388508,0.046744941053711075,0.297547435240223,False,ok
LK1106015,Halmulla,12,-0.07148164593175288,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1106020,Kotuvila,12,-0.1558761868510769,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
LK1106025,Veheragoda,12,-0.2656723724671979,-0.45454545454545453,-30.0,212.66666666666666,-1.9886038958388508,0.046744941053711075,0.297547435240223,False,ok
LK1106030,Orugodawatta,12,-0.236738059631184,-0.45454545454545453,-30.0,212.66666666666666,-1.9886038958388508,0.046744941053711075,0.297547435240223,False,ok
LK1106035,Meethotamulla,12,-0.10943600909174123,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1106040,Welewatta,12,-0.06068106959660582,-0.12121212121212122,-8.0,212.66666666666666,-0.48000783692661914,0.6312218204782534,0.6989871849033542,False,ok
LK1106045,Kittampahuwa,12,0.024613886416257662,0.030303030303030304,2.0,212.66666666666666,0.06857254813237416,0.9453298708327,0.9556238440178112,False,ok
LK1106050,Wennawatta,12,0.027910278728479985,0.030303030303030304,2.0,212.66666666666666,0.06857254813237416,0.9453298708327,0.9556238440178112,False,ok
LK1106055,Maha Buthgamuwa B,12,0.09181772395008636,0.21212121212121213,14.0,212.66666666666666,0.8914431257208641,0.37269149047151817,0.5075529589061996,False,ok
LK1106060,Kuda Buthgamuwa,12,-0.002398876037065989,-0.030303030303030304,-2.0,212.66666666666666,-0.06857254813237416,0.9453298708327,0.9556238440178112,False,ok
LK1106065,Kelanimulla,12,-0.005100395872133223,-0.030303030303030304,-2.0,212.66666666666666,-0.06857254813237416,0.9453298708327,0.9556238440178112,False,ok
