predictor,ee_importance,ee_rank,sklearn_importance,sklearn_rank,rank_difference
NDBI,14319445640.668875,1,0.09490569772271622,1,0
built_fraction,13101051590.517813,3,0.09120283466025965,2,1
lcz_class,7115935155.653186,7,0.08495127117015756,3,4
pop_density,14166926782.446701,2,0.045991347503004876,4,-2
elevation_m,9239189469.175314,6,0.021367112341875195,5,1
NDVI,11707919752.080511,4,0.019706255755717418,6,-2
dist_coast_km,10133562023.948114,5,0.013009629824094437,7,-2
