zone_id,name,n_bins,n_hot,n_cold,hot_share,cold_share,final_run,mk_tau,mk_z,mk_p,mk_slope,trend,category,reason,noise_sd,detectable_slope,underpowered,status
LK1103005,Sammanthranapura,12,0,0,0.0,0.0,0,-0.18181818181818182,-0.7542980294561158,0.4506702853141802,-0.04034714197503059,no trend,no_pattern,never significantly hot or cold,0.36844619737886664,0.10533992857801958,True,ok
LK1103010,Mattakkuliya,12,4,0,0.3333333333333333,0.0,0,-0.36363636363636365,-1.5771686070446058,0.11475673431864908,-0.07783952898122878,no trend,no_pattern,hot in only 33% of bins and not in the final bin,0.5137740288550698,0.1468896134356975,True,ok
LK1103015,Modara,12,6,0,0.5,0.0,0,-0.36363636363636365,-1.5771686070446058,0.11475673431864908,-0.08683438467541457,no trend,no_pattern,hot in only 50% of bins and not in the final bin,0.582273248200825,0.16647375604556727,True,ok
LK1103020,Madampitiya,12,4,0,0.3333333333333333,0.0,0,-0.30303030303030304,-1.302878414515109,0.19261627432960227,-0.08888391760449262,no trend,no_pattern,hot in only 33% of bins and not in the final bin,0.5354065488202876,0.15307441904452132,True,ok
LK1103025,Mahawatta,12,11,0,0.9166666666666666,0.0,0,-0.3333333333333333,-1.4400235107798574,0.14986074751304912,-0.11557602682778215,no trend,historical_hot_spot,hot in 92% of bins but not in the last 1 bin(s),0.6619615148069707,0.1892568825169902,False,ok
LK1103030,Aluthmawatha,12,11,0,0.9166666666666666,0.0,0,-0.36363636363636365,-1.5771686070446058,0.11475673431864908,-0.08957546355058807,no trend,historical_hot_spot,hot in 92% of bins but not in the last 1 bin(s),0.5351552657851215,0.153002576433129,False,ok
LK1103035,Lunupokuna,12,12,0,1.0,0.0,12,-0.30303030303030304,-1.302878414515109,0.19261627432960227,-0.06487316875899428,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.5553669825040967,0.15878116991777472,False,ok
LK1103040,Bloemendhal,12,12,0,1.0,0.0,12,-0.3939393939393939,-1.714313703309354,0.08647112777407262,-0.13057492139065244,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6092498370974653,0.1741864477977598,False,ok
LK1103045,Kotahena East,12,12,0,1.0,0.0,12,-0.30303030303030304,-1.302878414515109,0.19261627432960227,-0.08259672382854265,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.5816061725422388,0.16628303701323227,False,ok
LK1103050,Kotahena West,12,11,0,0.9166666666666666,0.0,8,-0.21212121212121213,-0.8914431257208641,0.37269149047151817,-0.04714551236999645,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.5675237690755947,0.162256833497125,False,ok
LK1103055,Kochchikade North,12,12,0,1.0,0.0,12,-0.24242424242424243,-1.0285882219856124,0.303673214899419,-0.07236922959257819,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.558054520083998,0.1595495453786468,False,ok
