predictor,importance_mean,importance_std,rank
NDBI,0.09490569772271622,0.002485748914902501,1
built_fraction,0.09120283466025965,0.002746914671051503,2
lcz_class,0.08495127117015756,0.0022176415267861948,3
pop_density,0.045991347503004876,0.000950012507832392,4
elevation_m,0.021367112341875195,0.0007103636711735635,5
NDVI,0.019706255755717418,0.0007176391085783349,6
dist_coast_km,0.013009629824094437,0.001159288105065493,7
