zone_id,beta_intercept,t_intercept,sig_intercept,beta_NDVI,t_NDVI,sig_NDVI,beta_NDBI,t_NDBI,sig_NDBI,beta_built_fraction,t_built_fraction,sig_built_fraction,beta_pop_density,t_pop_density,sig_pop_density,beta_elevation_m,t_elevation_m,sig_elevation_m,beta_dist_coast_km,t_dist_coast_km,sig_dist_coast_km,local_r2
LK1103005,0.25340043129325085,1.546515471778614,False,0.1353379780393063,1.181797209503536,False,0.8404841930795954,5.250505342003714,True,0.28056782770213673,2.7998678544269944,False,-0.07092104172309169,-2.800418137716013,False,-0.26646001536605746,-1.4602956303888648,False,0.46125366133815515,5.266625842215056,True,0.8597740593073145
LK1103010,0.22843343228746954,1.4499519920557098,False,0.12461586488355052,1.1339897616177264,False,0.8228959526348286,5.39821105760438,True,0.28651207739256895,3.0016019157404314,True,-0.06829019242467194,-2.797519287735647,False,-0.27560650995169295,-1.5543823984468195,False,0.44380380005844244,5.297871450057165,True,0.8580829180478704
LK1103015,0.19554702840022514,1.3100411529919642,False,0.05713593555247579,0.5970935669922875,False,0.6878311595452892,5.382201283750686,True,0.3417314752589866,4.305968539392219,True,-0.05282638392409974,-2.3370260104936826,False,-0.27927958094141514,-1.6443230690347446,False,0.42577004986514266,5.361204642707522,True,0.8533741877738962
LK1103020,0.19749498931573947,1.3369639740326957,False,0.09378097969567809,0.9316203359663834,False,0.7807472894547042,5.634449777707952,True,0.2842859918478011,3.121790650406263,True,-0.0617831415355633,-2.692056495528272,False,-0.2801776020261677,-1.6668430198708055,False,0.40916751341234525,5.239267514094883,True,0.8542740206015446
LK1103025,0.18848687837689965,1.2870730053548545,False,0.07098015384297415,0.7250911952775645,False,0.7516187239144748,5.615954714101203,True,0.27940503753311147,3.1115425700683224,True,-0.05718716688178211,-2.52477801414608,False,-0.2846183927403318,-1.7108801871051642,False,0.399353187537149,5.147060221956098,True,0.8515060668245394
LK1103030,0.18947530396599782,1.2984757588467755,False,0.005371555070800581,0.06086106466212119,False,0.572617379849693,5.033733492691724,True,0.3871878853248864,5.353468677259341,True,-0.03962061765912084,-1.8219509516590027,False,-0.2752640518489171,-1.6525135584727935,False,0.41785639784355055,5.326330761983904,True,0.8501574597653624
LK1103035,0.19495513278746784,1.3356663809561324,False,-0.03981816387807416,-0.466702673416915,False,0.4490518189526065,4.240925655067775,True,0.42902955202772514,6.165820191833003,True,-0.023473045080694314,-1.113046370084887,False,-0.2839620947332672,-1.7120138788874646,False,0.40654853739810903,5.130063800676604,True,0.8450796856383493
LK1103040,0.17691826174953784,1.2330360894769397,False,0.006351785163670187,0.07157173693125715,False,0.6105965852374745,5.252354965660978,True,0.3301859168870546,4.239101314921228,True,-0.04006634237240396,-1.8547306300899806,False,-0.285226147538843,-1.7408837940551651,False,0.3851667857641861,4.988432094444012,True,0.8443931059933647
LK1103045,0.18060609553841778,1.255094987956379,False,-0.0303162871281819,-0.35574000009072965,False,0.4881269253040104,4.56389593700445,True,0.3907209609488797,5.5070358705002125,True,-0.025730551452985247,-1.2232781897696379,False,-0.2907737243310562,-1.769815212267185,False,0.3769081028376191,4.819553117772972,True,0.838920649665059
LK1103050,0.18760211609983216,1.2980543654460095,False,-0.04227145375994971,-0.49873944028285544,False,0.4316471009049408,4.121118206012093,True,0.41861539446877266,6.041536381410594,True,-0.01812080256990411,-0.8745452141371282,False,-0.29730038669932424,-1.8033258781212598,False,0.3762913502864643,4.777625537429404,True,0.8388953968040587
