fold,n_train,n_test,n_train_blocks,n_test_blocks,rmse,r2
0,15244,3827,169,43,1.1319537946930256,0.887155245837892
1,15236,3835,169,43,1.1628943679445205,0.8660620424156433
2,15416,3655,170,42,1.3406496153108454,0.7614345862037866
3,15276,3795,170,42,1.242737628001808,0.8648341093504577
4,15112,3959,170,42,1.4320850539838383,0.8345664169759424
