zone_id,scenario,year,projected_lst_c,validated,rank,priority
LK1109060,business_as_usual,2030,36.74492513784305,False,328,False
LK1109065,business_as_usual,2030,37.937068460320376,False,243,False
LK1109070,business_as_usual,2030,38.02261468243652,False,263,False
LK1109075,business_as_usual,2030,35.98415886343003,False,362,False
LK1109080,business_as_usual,2030,36.20657207004294,False,394,False
LK1109085,business_as_usual,2030,35.65568861155851,False,404,False
LK1109090,business_as_usual,2030,35.23302089357884,False,423,False
LK1109095,business_as_usual,2030,36.38445315519687,False,338,False
LK1109100,business_as_usual,2030,34.53811680003838,False,457,False
LK1109105,business_as_usual,2030,35.55512849681553,False,439,False
LK1109110,business_as_usual,2030,36.008821443211914,False,424,False
LK1109115,business_as_usual,2030,36.972577243303114,False,336,False
LK1109120,business_as_usual,2030,36.55689017189615,False,382,False
LK1109125,business_as_usual,2030,37.17884563726436,False,316,False
LK1109130,business_as_usual,2030,37.528311093690505,False,271,False
LK1109135,business_as_usual,2030,38.0222466797522,False,239,False
LK1109140,business_as_usual,2030,38.363060395895346,False,221,False
LK1109145,business_as_usual,2030,38.355374627531624,False,235,False
LK1109150,business_as_usual,2030,38.29468198597655,False,166,False
LK1109155,business_as_usual,2030,38.49268050144414,False,197,False
LK1109160,business_as_usual,2030,38.053194624825224,False,222,False
LK1109165,business_as_usual,2030,36.99862549248239,False,296,False
LK1109170,business_as_usual,2030,37.8305370774165,False,195,False
LK1109175,business_as_usual,2030,38.47397854996364,False,126,False
LK1109180,business_as_usual,2030,38.74981093952906,False,99,False
LK1109185,business_as_usual,2030,38.28828060060894,False,229,False
LK1109190,business_as_usual,2030,37.961060961128666,False,276,False
LK1109195,business_as_usual,2030,37.48978034487192,False,277,False
LK1109200,business_as_usual,2030,36.20616119655349,False,376,False
LK1109205,business_as_usual,2030,36.67201063328858,False,380,False
LK1109210,business_as_usual,2030,36.608506495215174,False,386,False
LK1109215,business_as_usual,2030,36.46937713597613,False,363,False
LK1109220,business_as_usual,2030,37.09045552887306,False,357,False
LK1109225,business_as_usual,2030,37.96018983376632,False,284,False
LK1109230,business_as_usual,2030,37.06553176984985,False,317,False
LK1109235,business_as_usual,2030,37.822510381450854,False,209,False
LK1109240,business_as_usual,2030,38.550710612911516,False,94,False
LK1109245,business_as_usual,2030,38.39783300431784,False,189,False
LK1109250,business_as_usual,2030,38.636023236547864,False,167,False
LK1109255,business_as_usual,2030,37.76784265865265,False,162,False
LK1109260,business_as_usual,2030,37.70364112188494,False,213,False
LK1109265,business_as_usual,2030,37.459399039168616,False,205,False
LK1109270,business_as_usual,2030,38.60340581212528,False,192,False
LK1109275,business_as_usual,2030,38.00153088082135,False,293,False
LK1109280,business_as_usual,2030,37.39011759387831,False,356,False
LK1109285,business_as_usual,2030,36.86952102766346,False,358,False
LK1112005,business_as_usual,2030,35.96172692399356,False,413,False
LK1112010,business_as_usual,2030,35.0442127271413,False,401,False
LK1112015,business_as_usual,2030,34.64068719834693,False,456,False
LK1112020,business_as_usual,2030,34.472590170630276,False,442,False
LK1112025,business_as_usual,2030,34.901112763082494,False,434,False
LK1112030,business_as_usual,2030,35.58219879133697,False,432,False
LK1112035,business_as_usual,2030,35.707492790268795,False,419,False
LK1112040,business_as_usual,2030,35.78657799490436,False,412,False
LK1112045,business_as_usual,2030,35.73898635232614,False,444,False
LK1112050,business_as_usual,2030,35.83185761263142,False,421,False
LK1112055,business_as_usual,2030,35.82167449906467,False,430,False
LK1112060,business_as_usual,2030,36.29008269895148,False,388,False
LK1112065,business_as_usual,2030,35.32614463354924,False,409,False
LK1112070,business_as_usual,2030,36.650758589413776,False,391,False
LK1112075,business_as_usual,2030,35.44090521508757,False,431,False
LK1112080,business_as_usual,2030,34.48598984431686,False,471,False
LK1112085,business_as_usual,2030,34.97354574460834,False,445,False
LK1112090,business_as_usual,2030,35.6655336095453,False,416,False
LK1112095,business_as_usual,2030,36.69844731888373,False,365,False
LK1112100,business_as_usual,2030,36.428611324450024,False,389,False
LK1112105,business_as_usual,2030,36.549125102452095,False,329,False
LK1112110,business_as_usual,2030,37.33366444920527,False,348,False
