term,estimate,std_error,t_statistic,p_value
intercept,-9.467084860555016e-16,0.00896194767277272,-1.056364666055455e-13,0.9999999999999157
NDVI,0.26674475450153523,0.0338981119316604,7.869015095569351,1.908530239962317e-14
NDBI,0.6737200825211854,0.047769947296942145,14.103429470693841,8.900522646346484e-39
built_fraction,0.5297917658298424,0.027988109988179886,18.92917263986698,6.565097712746142e-62
pop_density,-0.036518109119647715,0.014499679797523325,-2.5185459009850226,0.01206664762508773
elevation_m,-0.0647635795767044,0.011413283232721621,-5.674403960380892,2.253000243549643e-08
dist_coast_km,-0.05761252224387786,0.012144734200119385,-4.743827348918968,2.6762307316757884e-06
