zone_id,name,n_bins,n_hot,n_cold,hot_share,cold_share,final_run,mk_tau,mk_z,mk_p,mk_slope,trend,category,reason,noise_sd,detectable_slope,underpowered,status
LK1130075,Kawdana East,26,23,0,0.8846153846153846,0.0,5,-0.12,-0.8375789285425354,0.40226723126443065,-0.023013297871971573,no trend,sporadic_hot_spot,"on and off hot in 88% of bins, never the opposite",0.7391424224541602,0.05946249996190895,False,ok
LK1131005,Mount Lavinia,26,24,0,0.9230769230769231,0.0,5,0.046153846153846156,0.3085817105156709,0.7576397352113808,0.0061464482000340714,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.8141319546475392,0.06549525484071433,False,ok
LK1131010,Kawdana West,26,22,0,0.8461538461538461,0.0,5,-0.009230769230769232,-0.0440831015022387,0.964838162737043,-0.0013543711181002787,no trend,sporadic_hot_spot,"on and off hot in 85% of bins, never the opposite",0.8885507466535602,0.07148209483581389,False,ok
LK1131015,Watarappala,26,22,0,0.8461538461538461,0.0,5,0.07076923076923076,0.48491411652462574,0.6277372683701175,0.00799249824869324,no trend,sporadic_hot_spot,"on and off hot in 85% of bins, never the opposite",0.8447171424810322,0.06795577080507417,False,ok
LK1131020,Wathumulla,26,23,0,0.8846153846153846,0.0,5,0.08923076923076922,0.6171634210313418,0.537126940170827,0.008767471428597563,no trend,sporadic_hot_spot,"on and off hot in 88% of bins, never the opposite",0.8589554411829964,0.06910121288809261,False,ok
LK1131025,Katukurunduwatta,26,25,0,0.9615384615384616,0.0,5,-0.07692307692307693,-0.5289972180268644,0.5968073797467659,-0.013471445151641337,no trend,persistent_hot_spot,hot in 96% of bins with no significant trend,0.9371054642984654,0.0753882228138623,False,ok
LK1131030,Attidiya North,26,9,0,0.34615384615384615,0.0,1,-0.16923076923076924,-1.190243740560445,0.23395060590621997,-0.02778341217237445,no trend,sporadic_hot_spot,"on and off hot in 35% of bins, never the opposite",0.8529439222646367,0.0686175984552109,False,ok
LK1131035,Attidiya South,26,16,0,0.6153846153846154,0.0,2,-0.09538461538461539,-0.6612465225335805,0.5084542305885602,-0.014315931917561553,no trend,sporadic_hot_spot,"on and off hot in 62% of bins, never the opposite",0.915011161138605,0.07361078119924157,False,ok
LK1131040,Piriwena,26,22,0,0.8461538461538461,0.0,5,0.052307692307692305,0.3526648120179096,0.7243397423849234,0.008743650281851527,no trend,sporadic_hot_spot,"on and off hot in 85% of bins, never the opposite",0.8469817213525749,0.0681379515553222,False,ok
LK1131045,Wedikanda,26,21,0,0.8076923076923077,0.0,5,0.15076923076923077,1.0579944360537288,0.29005797903523867,0.020685092163092597,no trend,sporadic_hot_spot,"on and off hot in 81% of bins, never the opposite",0.7526772353157354,0.06055134804424963,False,ok
LK1131050,Vihara,26,21,0,0.8076923076923077,0.0,5,0.033846153846153845,0.22041550751119351,0.8255475691294885,0.006207482710812665,no trend,sporadic_hot_spot,"on and off hot in 81% of bins, never the opposite",0.9153412447420594,0.07363733575173588,False,ok
LK1131055,Rathmalana West,26,17,0,0.6538461538461539,0.0,2,-0.015384615384615385,-0.0881662030044774,0.9297445787752687,-0.002615868485827905,no trend,sporadic_hot_spot,"on and off hot in 65% of bins, never the opposite",0.9623989328722057,0.077423030759412,False,ok
LK1131060,Rathmalana East,26,18,0,0.6923076923076923,0.0,2,-0.07076923076923076,-0.48491411652462574,0.6277372683701175,-0.013252407466019845,no trend,sporadic_hot_spot,"on and off hot in 69% of bins, never the opposite",0.9464976582432595,0.07614380565570521,False,ok
LK1131065,Kandawala,26,9,0,0.34615384615384615,0.0,0,-0.2123076923076923,-1.4988254510761159,0.13391892014731077,-0.035244728404082104,no trend,no_pattern,hot in only 35% of bins and not in the final bin,0.9007843063789317,0.07246625975803364,True,ok
LK1133005,Angulana North,26,13,0,0.5,0.0,0,0.09538461538461539,0.6612465225335805,0.5084542305885602,0.016196498110364787,no trend,no_pattern,hot in only 50% of bins and not in the final bin,1.1214583124112145,0.09021903334626953,True,ok
LK1133010,Kaldemulla,26,18,0,0.6923076923076923,0.0,2,-0.08923076923076922,-0.6171634210313418,0.537126940170827,-0.018171005983543848,no trend,sporadic_hot_spot,"on and off hot in 69% of bins, never the opposite",1.0403498588992406,0.08369402373059516,False,ok
LK1133015,Soysapura North,26,14,0,0.5384615384615384,0.0,0,-0.10153846153846154,-0.7053296240358192,0.4806051289858302,-0.010750571787743635,no trend,no_pattern,hot in only 54% of bins and not in the final bin,0.5719623609873639,0.04601320508096491,True,ok
LK1133020,Soysapura South,26,22,0,0.8461538461538461,0.0,5,-0.1076923076923077,-0.7494127255380579,0.4536084832864735,-0.014274134606977934,no trend,sporadic_hot_spot,"on and off hot in 85% of bins, never the opposite",0.7005629609510994,0.05635886098995089,False,ok
LK1133025,Dahampura,26,21,0,0.8076923076923077,0.0,5,0.033846153846153845,0.22041550751119351,0.8255475691294885,0.003970777617782417,no trend,sporadic_hot_spot,"on and off hot in 81% of bins, never the opposite",1.0984922283716438,0.08837145873839636,False,ok
LK1133030,Thelawala North,26,13,0,0.5,0.0,0,-0.18153846153846154,-1.2784099435649223,0.20110491981248035,-0.02919822078385923,no trend,no_pattern,hot in only 50% of bins and not in the final bin,0.8363359773506146,0.06728152316874787,True,ok
LK1133035,Borupana,26,6,0,0.23076923076923078,0.0,0,-0.23692307692307693,-1.6751578570850707,0.09390326367306256,-0.04364529789015066,no trend,no_pattern,hot in only 23% of bins and not in the final bin,0.8779563989454127,0.07062980117622321,True,ok
LK1133040,Thelawala South,26,15,0,0.5769230769230769,0.0,0,-0.16307692307692306,-1.1461606390582062,0.2517286908429268,-0.024451726657977346,no trend,no_pattern,hot in only 58% of bins and not in the final bin,0.5880627751535833,0.04730845055418075,True,ok
