zone_id,value,gi_z,p_norm,p_sim,p_adjusted,significant,confidence_class
LK1103005,39.52328146780317,1.0197421255924985,0.30785077735324684,0.324,0.372098969072165,False,ns
LK1103010,38.63125049520208,1.498813191823237,0.13392210135199673,0.076,0.1298527607361963,False,ns
LK1103015,39.7305046236525,1.7715884563185853,0.07646289730477229,0.07,0.12261006289308177,False,ns
LK1103020,38.71885365026236,1.5430511958625461,0.12281835473520876,0.07,0.12261006289308177,False,ns
LK1103025,39.764476702226375,2.5459422501137796,0.010898321643232184,0.015,0.03797727272727273,True,hot_95
LK1103030,39.48437535028575,2.331648317209177,0.019719199774727997,0.018,0.043591304347826085,True,hot_95
LK1103035,39.91625400291343,3.138011822165619,0.001700980162362859,0.001,0.005460784313725491,True,hot_99
LK1103040,40.84475516598516,4.152436041975497,3.289547074909743e-05,0.001,0.005460784313725491,True,hot_99
LK1103045,41.121072987500845,3.5989515314383826,0.00031950272456146784,0.001,0.005460784313725491,True,hot_99
LK1103050,41.00083817620641,3.0189268494231607,0.0025367177321112327,0.005,0.016676646706586827,True,hot_95
LK1103055,40.98671568440828,3.2346305399736734,0.0012180022778972184,0.001,0.005460784313725491,True,hot_99
LK1103060,40.90118363399635,3.20398591651242,0.0013553910662045202,0.002,0.008841269841269843,True,hot_99
LK1103065,41.01050771321293,4.057591994828124,4.9581289126126346e-05,0.001,0.005460784313725491,True,hot_99
LK1103070,42.74339768050232,4.019840861596066,5.8237466331330225e-05,0.001,0.005460784313725491,True,hot_99
LK1103075,41.42097365783428,4.323121419477469,1.5383701180084554e-05,0.001,0.005460784313725491,True,hot_99
LK1103080,41.98066500798603,3.4142347584949104,0.0006396143786443739,0.001,0.005460784313725491,True,hot_99
LK1103085,41.58498449995475,3.592063851589124,0.00032806943668920737,0.001,0.005460784313725491,True,hot_99
LK1103090,40.39508558505266,3.4113003615868256,0.0006465382737389149,0.002,0.008841269841269843,True,hot_99
LK1103095,40.37574901754999,3.9149792828066774,9.0411970764174e-05,0.001,0.005460784313725491,True,hot_99
LK1103100,41.15438170215734,3.8705244095536893,0.00010860148165736806,0.001,0.005460784313725491,True,hot_99
LK1103105,40.85796328652807,3.133415151332933,0.0017278486591325755,0.001,0.005460784313725491,True,hot_99
LK1103110,41.15387541109936,3.7255481322082624,0.0001948912585682378,0.001,0.005460784313725491,True,hot_99
LK1103115,41.19714115617923,2.913970785590415,0.003568633008890838,0.005,0.016676646706586827,True,hot_95
LK1103120,37.74219283073024,2.0006572426779994,0.04542934019092676,0.02,0.047811158798283265,True,hot_95
LK1103125,37.93788007429018,1.4183195449479267,0.15609749295160355,0.086,0.13965597667638482,False,ns
LK1103130,40.21110714248748,1.4375645994598176,0.15055763134524197,0.158,0.21570098039215688,False,ns
LK1103135,39.621571108425016,1.8825937023035049,0.059755450502140775,0.055,0.10077302631578948,False,ns
LK1103140,39.27351928529713,3.3785524743331705,0.0007286852419939673,0.001,0.005460784313725491,True,hot_99
LK1103145,40.44659884587734,3.5222534342059686,0.00042789487139979174,0.001,0.005460784313725491,True,hot_99
LK1103150,41.008204110043344,3.064917616023229,0.002177299634788523,0.005,0.016676646706586827,True,hot_95
LK1103155,40.81877519953439,3.661167399246676,0.0002510686419861646,0.002,0.008841269841269843,True,hot_99
LK1103160,41.22863276561578,3.1619823321791225,0.0015669907135500932,0.003,0.012286764705882353,True,hot_95
LK1103165,41.21266297702083,2.931214031428215,0.003376400681055928,0.006,0.018670391061452515,True,hot_95
LK1103170,40.15712024435888,2.490486880103942,0.012756820559772656,0.015,0.03797727272727273,True,hot_95
