zone_id,wetland_within_pct,adjacent_within_250m,adjacent_within_500m,adjacent_within_1000m,adjacent_queen,wetland_status,wetland_policy_flag,adjacency_disagreement,dw_flooded_vegetation_pct,worldcover_wetland_pct,gsw_seasonal_pct,wdpa_pct,wetland_sources
LK1118155,0.11637680222409,False,False,False,False,neither,False,False,0.0,0.0,0.11637680222409,0.0,
LK1118160,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1118165,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1118170,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1118175,0.06078743102964556,False,False,False,False,neither,False,False,0.03273169363134761,0.0,0.02805573739829795,0.0,
LK1118180,0.01349983125210935,False,False,True,False,neither,False,False,0.01349983125210935,0.0,0.0,0.0,
LK1118185,1.8115942028985508,False,False,False,False,within,True,False,1.8184304074377906,0.0,0.0,0.0,dw_flooded_vegetation
LK1118190,0.15605188725251146,True,True,True,True,adjacent,True,False,0.15605188725251146,0.0,0.0,0.0,
LK1118195,0.713867251068631,True,True,True,True,adjacent,True,False,0.713867251068631,0.0,0.0,0.0,
LK1118200,0.30569354222392053,False,False,False,False,neither,False,False,0.30569354222392053,0.0,0.0,0.0,
LK1118205,0.4898900148888142,False,False,False,False,neither,False,False,0.4898900148888142,0.0,0.0,0.0,
LK1118210,0.18940268859426249,True,True,True,False,adjacent,True,True,0.258696355153139,0.0,0.0,0.0,
LK1118215,0.0,False,False,True,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1118220,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1118225,1.8180914389392189,False,False,False,False,within,True,False,0.0,0.03976686674371497,1.7783245721955039,0.0,gsw_seasonal
LK1118230,1.3614631112493198,False,False,False,False,within,True,False,0.0,0.0068024566586332895,1.3721526859986006,0.0,gsw_seasonal
LK1121005,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1121010,28.491620111731844,False,False,False,False,within,True,False,0.0,0.0,0.8325117756599847,28.491620111731844,wdpa
LK1121015,48.40140190258207,False,False,False,False,within,True,False,0.0,0.028610256777054574,0.8296974465345827,48.215435233531224,wdpa
LK1121020,12.57447960999768,False,False,False,False,within,True,False,0.34047821713224485,0.45655033660914646,1.122030488276716,10.941731796022596,gsw_seasonal;wdpa
LK1121025,0.08451786400307337,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.08451786400307337,
LK1121030,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1121035,0.0,False,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1121040,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1121045,1.674196120116928,False,False,False,False,within,True,False,0.0,0.0,1.674196120116928,0.0,gsw_seasonal
LK1121050,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1121055,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1121060,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1121065,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1121070,0.06275100401606426,True,True,True,True,adjacent,True,False,0.0,0.06275100401606426,0.0,0.0,
LK1121075,1.23676567038321,False,False,False,False,within,True,False,0.093694368968425,0.6090133982947625,0.693338330366345,0.0,
LK1121080,1.8505449698110248,False,False,False,False,within,True,False,0.1568258448992394,0.0,1.6780365404218616,0.10977809142946758,gsw_seasonal
LK1121085,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1121090,0.07634753397465262,True,True,True,True,adjacent,True,False,0.0,0.07634753397465262,0.0,0.0,
LK1121095,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1121100,0.021637996321540624,True,True,True,True,adjacent,True,False,0.0,0.021637996321540624,0.0,0.0,
LK1121105,0.10602205258693809,True,True,True,True,adjacent,True,False,0.0,0.10602205258693809,0.0,0.0,
LK1121110,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1121115,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1121120,0.0,False,False,True,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1121125,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1121130,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1121135,0.0,False,False,True,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1121140,0.0,False,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1121145,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1121150,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1121155,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
