scheme,year,zone_id,cell_size_m,landscape_area_ha,class_area_ha,class_fraction,n_patches,patch_density_per_100ha,total_edge_m,edge_density_m_per_ha,mean_patch_area_ha,largest_patch_index_pct,aggregation_index_pct,observed_fraction,below_coverage_floor
dynamic_world,2018,,10.0,68335.78,30122.79,0.4408055340847796,2333.0,3.4140241027467604,3256940.0,47.66083009515659,12.911611658808402,32.3855965352265,97.27137263942086,0.5455574162389117,
dynamic_world,2024,,10.0,68281.0,30423.23,0.44555923316881707,2816.0,4.124134092939471,3670700.0,53.75873229741802,10.803703835227273,31.912083888636662,96.95196160862152,0.5451200811377164,
worldcover,2021,,10.0,68335.78,48669.3,0.7122081580103425,14474.0,21.18070504207313,8330780.0,121.90948870416055,3.3625328174658007,59.10934213379872,95.70032089182457,0.5455574162389117,
