zone_id,value,gi_z,p_norm,p_sim,p_adjusted,significant,confidence_class
LK1103,39.38194146529433,1.1563537062996403,0.24753650900198454,0.234,0.3042,False,ns
LK1106,38.42880958831008,1.1337014514877823,0.25691980058954267,0.158,0.25277777777777777,False,ns
LK1109,36.57853204546928,-0.15960705040724182,0.8731906247646446,0.496,0.49600000000000005,False,ns
LK1112,35.151249826649426,-2.881551246838469,0.00395722878156098,0.001,0.004333333333333334,True,cold_99
LK1115,33.21828058540134,-2.993687955918058,0.0027562768108084063,0.001,0.004333333333333334,True,cold_99
LK1118,32.66498848026193,-2.993687955918058,0.0027562768108084063,0.001,0.004333333333333334,True,cold_99
LK1121,38.03765618571399,0.11030698028342092,0.9121659215831722,0.485,0.49600000000000005,False,ns
LK1124,39.33678330549323,1.456635642447571,0.14521698353759813,0.122,0.25277777777777777,False,ns
LK1127,39.75608522047016,2.018528134192199,0.043536287116016315,0.033,0.10725000000000001,False,ns
LK1130,40.648667440652034,1.8685153101943077,0.06169027811518714,0.071,0.1846,False,ns
LK1131,40.26104565628101,1.4497801541263797,0.14711983546075166,0.158,0.25277777777777777,False,ns
LK1133,39.3430106465696,0.8362751594133674,0.4030001243747372,0.334,0.39472727272727276,False,ns
LK1136,36.68769876604173,0.8928943993564902,0.3719137266565973,0.175,0.25277777777777777,False,ns
