zone_id,value,spatial_lag,local_i,z_score,p_norm,p_sim,p_adjusted,significant,quadrant,cluster
LK1103005,39.52328146780317,38.63125049520208,0.49237844490358856,0.5776448292501615,0.5635039342658467,0.324,0.372098969072165,False,1,ns
LK1103010,38.63125049520208,39.32421324723934,0.45179632251638574,1.3799955287623196,0.1675880215130371,0.076,0.1298527607361963,False,1,ns
LK1103015,39.7305046236525,39.149739049494144,0.716600643733321,1.4755861952567455,0.14005501329285552,0.07,0.12261006289308177,False,1,ns
LK1103020,38.71885365026236,39.375410607026986,0.4888169390106517,1.4117530509941527,0.15802268673839426,0.07,0.12261006289308177,False,1,ns
LK1103025,39.764476702226375,39.71743091956078,0.927711469745293,2.302347086981212,0.021315606388472495,0.015,0.03797727272727273,True,1,HH
LK1103030,39.48437535028575,40.06399762369437,0.9401133763092734,2.132153692848772,0.03299421385487243,0.018,0.043591304347826085,True,1,HH
LK1103035,39.91625400291343,40.72963656723148,1.361140126702174,2.9378143069090052,0.0033053493615976238,0.001,0.005460784313725491,True,1,HH
LK1103040,40.84475516598516,40.86667823216839,1.8797138560241389,3.8705307187445643,0.00010859867082809909,0.001,0.005460784313725491,True,1,HH
LK1103045,41.121072987500845,41.10315054776405,2.1457162250726114,3.2466978871172554,0.0011675225146802759,0.001,0.005460784313725491,True,1,HH
LK1103050,41.00083817620641,40.73130657720473,1.8877017841277042,2.6170653871460257,0.008868935021057149,0.005,0.016676646706586827,True,1,HH
LK1103055,40.98671568440828,41.06325959437034,2.053170307340834,2.8561412956856973,0.004288242505718747,0.001,0.005460784313725491,True,1,HH
LK1103060,40.90118363399635,41.037984246231744,1.995063328176062,2.83755926354161,0.004545990664533801,0.002,0.008841269841269843,True,1,HH
LK1103065,41.01050771321293,41.321979116964044,2.2008895512223856,3.734122968678651,0.0001883704473477097,0.001,0.005460784313725491,True,1,HH
LK1103070,42.74339768050232,40.987906707373426,2.92622804504891,3.4487445942356305,0.0005631991352512687,0.001,0.005460784313725491,True,1,HH
LK1103075,41.42097365783428,41.23659732722852,2.3830958179452066,3.959512870243603,7.510279722416128e-05,0.001,0.005460784313725491,True,1,HH
LK1103080,41.98066500798603,41.08823094796807,2.5955958100677377,2.881292526698128,0.003960478796396871,0.001,0.005460784313725491,True,1,HH
LK1103085,41.58498449995475,41.457907019699036,2.606320463320533,3.1459068217967516,0.0016557274604967675,0.001,0.005460784313725491,True,1,HH
LK1103090,40.39508558505266,40.64975183831936,1.5580840925252049,3.1352180071085263,0.0017172644110955311,0.002,0.008841269841269843,True,1,HH
LK1103095,40.37574901754999,41.256802989187385,1.8144015394068493,3.6754053785756002,0.00023747204395355796,0.001,0.005460784313725491,True,1,HH
LK1103100,41.15438170215734,41.073736775619,2.147597110064815,3.5189914401082167,0.0004331906843587752,0.001,0.005460784313725491,True,1,HH
LK1103105,40.85796328652807,40.941340918086745,1.9238288532262064,2.771681221070567,0.005576762059095384,0.001,0.005460784313725491,True,1,HH
LK1103110,41.15387541109936,40.90001838670037,2.0532648593166245,3.3649225382237775,0.0007656515105604439,0.001,0.005460784313725491,True,1,HH
LK1103115,41.19714115617923,39.91985934338763,1.5388184971383074,2.4916056693113604,0.012716713376101944,0.005,0.016676646706586827,True,1,HH
LK1103120,37.74219283073024,39.648243753335805,0.2156022710340079,2.059864823073459,0.03941146541739676,0.02,0.047811158798283265,True,1,HH
LK1103125,37.93788007429018,39.060021118114115,0.21679906293911907,1.4080919520799018,0.1591038438000637,0.086,0.13965597667638482,False,1,ns
LK1103130,40.21110714248748,38.521016153289324,0.5868187792337327,1.0238555529160749,0.30590350651104414,0.158,0.21570098039215688,False,1,ns
LK1103135,39.621571108425016,39.34598487571843,0.7528511492111328,1.6162062136188242,0.10604973581172578,0.055,0.10077302631578948,False,1,ns
LK1103140,39.27351928529713,40.27553330902116,0.9180034017570148,3.2510613601101634,0.0011497504042163895,0.001,0.005460784313725491,True,1,HH
LK1103145,40.44659884587734,40.77418082521741,1.6380981783975839,3.2457119687946956,0.0011715730916414448,0.001,0.005460784313725491,True,1,HH
LK1103150,41.008204110043344,40.41380481008324,1.7255454364708245,2.6897355570167734,0.007150865959400164,0.005,0.016676646706586827,True,1,HH
LK1103155,40.81877519953439,40.596115693895726,1.7322772159030806,3.334416156304492,0.0008547866573178155,0.002,0.008841269841269843,True,1,HH
LK1103160,41.22863276561578,40.89216887241225,2.086875162491771,2.7355388843777644,0.00622782278460839,0.003,0.012286764705882353,True,1,HH
LK1103165,41.21266297702083,40.54480211171267,1.887965168281886,2.4849337503111504,0.01295755462680206,0.006,0.018670391061452515,True,1,HH
LK1103170,40.15712024435888,39.585508438941645,1.0109994252683736,2.187714013150882,0.0286904406746184,0.015,0.03797727272727273,True,1,HH
LK1103175,38.78242059971186,39.45261784016586,0.5254080865052656,1.6936658701902185,0.09032879341663419,0.042,0.08295744680851065,False,1,ns
LK1106005,40.502210468098085,40.57525481598141,1.5750208071103005,3.316464496081299,0.0009116416991688381,0.002,0.008841269841269843,True,1,HH
LK1106010,39.02388625908085,38.90924752207578,0.4618522351693988,1.4631954841420962,0.14341389613256889,0.075,0.12893518518518518,False,1,ns
LK1106015,36.59487803473282,38.8289035930471,-0.11818059268046768,-1.06727172944211,0.2858491502113737,0.148,0.2071256281407035,False,2,ns
LK1106020,38.78443527356264,38.215356313277624,0.24844630211539068,0.8958432095927832,0.370336508594566,0.188,0.24697169811320754,False,1,ns
LK1106025,38.90023713175896,39.758247240630126,0.6356855211079382,2.3359164206083185,0.01949559797538026,0.012,0.03228985507246377,True,1,HH
LK1106030,41.927778944877765,40.49114105682588,2.182274057537212,2.754767617229625,0.005873383489014251,0.005,0.016676646706586827,True,1,HH
LK1106035,40.7367288507488,40.95852097620387,1.8699756681785105,3.128617274055276,0.001756309088924843,0.001,0.005460784313725491,True,1,HH
LK1106040,37.87939089431766,39.167536087574085,0.2126185861112899,1.6654034597084928,0.09583228965034402,0.051,0.09532550335570468,False,1,ns
LK1106045,38.67838924649781,38.66987336554157,0.32825573277819187,1.476368414086431,0.13984501724512602,0.077,0.13075914634146343,False,1,ns
LK1106050,38.10659670233324,39.669680448123934,0.3423527671846396,1.8388585818341776,0.06593598911596527,0.031,0.06515849056603773,False,1,ns
LK1106055,38.308804012354194,39.36431845720169,0.36260327158929156,1.393784333690356,0.1633827403792999,0.076,0.1298527607361963,False,1,ns
LK1106060,38.92448773642068,38.51088886691127,0.3410475843043969,1.1349214963020067,0.25640821225105137,0.131,0.1885452196382429,False,1,ns
LK1106065,36.08639790772667,38.0769020367511,-0.13247239198778382,-0.691471096080331,0.48926953869045464,0.255,0.312852422907489,False,2,ns
LK1106070,37.1359306686394,36.786658621901694,-0.0012008545597060464,-0.2637260903897359,0.7919909898321813,0.405,0.43633462282398455,False,4,ns
LK1106075,36.95407833793551,37.69922519110734,-0.012179640377449438,-0.4219421201427119,0.6730672650805432,0.341,0.3860508130081301,False,2,ns
LK1106080,39.29311140400881,38.16609428843552,0.3094259082449235,0.9976148773060085,0.31846614411981444,0.173,0.23052870813397128,False,1,ns
LK1106085,39.12820174153941,39.52015452356228,0.6521694034684549,2.2951957967899745,0.02172190596935269,0.012,0.03228985507246377,True,1,HH
LK1106090,39.73792926892725,39.95366034352829,1.0015862290446393,2.0415598612856933,0.0411952102660022,0.021,0.048535269709543576,True,1,HH
LK1106095,41.06187093285115,39.53350468482364,1.2834710222206196,1.9704715758793945,0.04878434948993701,0.025,0.054607843137254905,False,1,ns
LK1106100,39.0428371822072,39.42430072710853,0.5997907679284338,2.0513041121530824,0.04023734027816387,0.022,0.04961133603238866,True,1,HH
LK1106105,40.4317816038438,39.16689224107742,0.9158558152529862,1.6730116713465966,0.0943249984243122,0.051,0.09532550335570468,False,1,ns
LK1106110,41.593206837365685,39.94290175732786,1.7016971943243975,2.039031785753066,0.041446855325124696,0.021,0.048535269709543576,True,1,HH
LK1106115,39.275267146354494,40.17978587356538,0.8909726965504998,2.200175554481904,0.027794441984486405,0.014,0.036269767441860466,True,1,HH
LK1106120,39.65131787084484,39.24222477572722,0.7264429799275286,2.028029710588374,0.04255721579972325,0.023,0.051244,False,1,ns
LK1106125,40.6296576007926,38.407251020004814,0.6123506922715457,1.231832533912429,0.2180116475347713,0.114,0.17023592493297587,False,1,ns
LK1106130,40.81411247720157,39.44372556471136,1.1585152357078057,1.6771014254164849,0.09352265012393124,0.045,0.08794736842105262,False,1,ns
LK1106135,40.70008096330193,39.76679515717229,1.2781814110880227,2.536713749782416,0.0111898408378619,0.005,0.016676646706586827,True,1,HH
LK1106140,39.810276126691576,38.79969017674283,0.6118020298239811,1.049207377274321,0.29408268401837345,0.155,0.2121253071253071,False,1,ns
LK1106145,38.28146078405447,37.953251080374734,0.1327427116528817,0.6856636392271024,0.4929252407422885,0.256,0.313389010989011,False,1,ns
LK1106150,37.42826347202815,37.69719402833897,0.025252929520777213,0.5458074674514792,0.5851982896570225,0.293,0.34358105263157895,False,1,ns
LK1106155,37.16500474741022,36.88512440672089,-0.0017001566917591597,-0.18345397242872982,0.8544418304891539,0.435,0.4588920454545454,False,4,ns
LK1106160,37.010717318911006,37.257707128046114,-0.0019491951324607031,-0.10656640382217229,0.9151329726319933,0.444,0.4622579439252336,False,2,ns
LK1106165,37.88639836312812,37.73425461323089,0.0652388170290301,0.582312611898301,0.5603561319306831,0.279,0.33205769230769233,False,1,ns
LK1106170,38.64333382799047,38.29694000064016,0.24429869382841785,0.964709520315953,0.3346903254379969,0.172,0.22974580335731412,False,1,ns
LK1106175,38.28780151300868,38.27275878836963,0.1839088115572319,0.9443772815836815,0.34497688664241555,0.177,0.2352959427207637,False,1,ns
LK1106180,38.11304480322092,38.32631866535539,0.1638715290164382,1.068265065045672,0.2854009623157623,0.153,0.2099039408866995,False,1,ns
LK1106185,37.97775738468027,39.218622159243075,0.24567814167243995,2.305917199293542,0.02111525940041878,0.012,0.03228985507246377,True,1,HH
LK1106190,40.19743878090545,40.23750919706849,1.2939496255672363,2.5474493878128706,0.010851359259421121,0.009,0.025707692307692306,True,1,HH
LK1106195,42.04472013688144,39.52976761220021,1.6000465614129495,1.978220822447553,0.04790380069641616,0.023,0.051244,False,1,ns
LK1106200,35.38329276189977,39.37117418774375,-0.5223935588098928,-2.3233759670691883,0.02015896402159799,0.013,0.03415566037735849,True,2,LH
