zone_id,value,gi_z,p_norm,p_sim,p_adjusted,significant,confidence_class
LK1103,39.31080104404276,1.1491595446296963,0.2504901990595515,0.204,0.2652,False,ns
LK1106,38.84756824664493,1.1425136974115386,0.25324055578978577,0.152,0.2652,False,ns
LK1109,36.959026711295344,-0.2623823772229199,0.7930266578166325,0.456,0.45699999999999996,False,ns
LK1112,35.77753596448512,-2.9953815148476,0.002741017682098073,0.001,0.004333333333333334,True,cold_99
LK1115,34.36076804253583,-2.8624611793483123,0.004203647529279046,0.001,0.004333333333333334,True,cold_99
LK1118,34.07181368069376,-2.8624611793483123,0.004203647529279046,0.001,0.004333333333333334,True,cold_99
LK1121,38.272990624421936,-0.043178936822838514,0.965558895406963,0.457,0.45699999999999996,False,ns
LK1124,40.07162661544592,1.5375949169011167,0.12414769109421887,0.111,0.24050000000000002,False,ns
LK1127,40.63828331297396,2.1197651224543677,0.034025857970863986,0.032,0.10400000000000001,False,ns
LK1130,41.06208749184628,1.966562590096161,0.0492336598857805,0.06,0.156,False,ns
LK1131,40.74470267438869,1.391942823765967,0.16393971263635054,0.168,0.2652,False,ns
LK1133,39.65436122237048,0.739330417050074,0.4597063835552705,0.324,0.38290909090909087,False,ns
LK1136,36.90742119348801,0.7397615182448345,0.4594447127153082,0.188,0.2652,False,ns
