year,lst_mean,obs_count_mean,valid_pixels
2014,40.77458743992078,6.143133702652999,4156
2015,42.50124035970701,8.164145312339196,4156
2016,42.32039323242212,9.360103184265656,4156
2017,39.67917672737374,6.248073304712027,4156
2018,42.24012052055538,7.211377259461628,4156
2019,42.06527123730881,7.547206704452997,4156
2020,39.45324119426791,5.941873899273978,4156
2021,40.95300480167063,6.116724045196027,4156
2022,41.64035692830704,11.143702633587113,4156
2023,39.11163552967858,10.410435125368684,4156
2024,41.001745497371566,13.716983073819272,4156
2025,39.71957844527032,9.41701666598705,4156
