zone_id,gi_star_hot_rank,lst_2020s_rank,ndvi_inverse_rank,score,rank,priority
LK1103070,0.9874326750448833,1.0,0.9910233393177738,0.9931777378815081,1,True
LK1103075,1.0,0.9551166965888689,0.9551166965888689,0.9730700179533214,2,True
LK1103080,0.9443447037701975,0.9964093357271095,0.9766606822262118,0.9716337522441653,3,True
LK1133045,0.992818671454219,0.9982046678635548,0.8527827648114902,0.9669658886894077,4,True
LK1103085,0.9622980251346499,0.9748653500897666,0.9587073608617595,0.9666068222621186,5,True
LK1103110,0.9766606822262118,0.9389587073608617,0.992818671454219,0.9648114901256734,6,True
LK1103065,0.9892280071813285,0.9228007181328546,0.9982046678635548,0.9644524236983842,7,True
LK1103100,0.9820466786355476,0.926391382405745,0.9802513464991023,0.9594254937163376,8,True
LK1103045,0.9658886894075404,0.9443447037701975,0.9712746858168761,0.9583482944344704,9,True
LK1106030,0.9156193895870736,0.992818671454219,0.9748653500897666,0.9583482944344703,10,True
LK1133025,0.9982046678635548,0.9784560143626571,0.8096947935368043,0.9526032315978455,11,True
LK1130070,0.9245960502692998,0.9874326750448833,0.9102333931777379,0.9468581687612209,12,True
LK1133020,0.9964093357271095,0.9802513464991023,0.770197486535009,0.9447037701974866,13,True
LK1130015,0.9784560143626571,0.9533213644524237,0.8509874326750448,0.9429084380610413,14,True
LK1124080,0.9694793536804309,0.9712746858168761,0.8240574506283662,0.9411131059245961,15,True
LK1131010,0.9228007181328546,0.9676840215439856,0.9174147217235189,0.93967684021544,16,True
LK1103040,0.9946140035906643,0.8779174147217235,0.9461400359066428,0.9382405745062837,17,True
LK1124085,0.9910233393177738,0.9587073608617595,0.7809694793536804,0.9360861759425494,18,True
LK1133040,0.9461400359066428,0.9910233393177738,0.8025134649910234,0.9353680430879714,19,True
LK1133010,0.9533213644524237,0.9605026929982047,0.8402154398563735,0.9335727109515259,20,True
LK1130045,0.8994614003590664,0.9766606822262118,0.9120287253141831,0.9328545780969479,21,True
LK1131015,0.8850987432675045,0.9856373429084381,0.9192100538599641,0.9321364452423698,22,True
LK1130060,0.9030520646319569,0.9838420107719928,0.8833034111310593,0.9314183123877918,23,True
LK1103060,0.9120287253141831,0.9245960502692998,0.9820466786355476,0.9310592459605027,24,True
LK1103160,0.9102333931777379,0.9425493716337523,0.9425493716337523,0.9296229802513466,25,True
LK1127030,0.9587073608617595,0.8922800718132855,0.940754039497307,0.9285457809694795,26,True
LK1103115,0.8689407540394973,0.9515260323159784,1.0,0.9281867145421903,27,True
LK1131025,0.9515260323159784,0.947935368043088,0.8384201077199281,0.9274685816876123,28,True
LK1103055,0.9138240574506283,0.9102333931777379,0.9874326750448833,0.9271095152603233,29,True
LK1103165,0.8761220825852782,0.9569120287253142,0.9676840215439856,0.9267504488330341,30,True
LK1103155,0.9748653500897666,0.895870736086176,0.8904847396768402,0.926391382405745,31,True
LK1130030,0.8868940754039497,0.9658886894075404,0.895870736086176,0.9202872531418314,32,True
LK1130035,0.9174147217235189,0.9371633752244165,0.8850987432675045,0.9188509874326751,33,True
LK1130010,0.9389587073608617,0.9066427289048474,0.881508078994614,0.9145421903052064,34,True
LK1106005,0.9676840215439856,0.8438061041292639,0.9497307001795332,0.9145421903052064,35,True
LK1103105,0.9066427289048474,0.8833034111310593,0.9856373429084381,0.9131059245960503,36,True
LK1124090,0.9371633752244165,0.9299820466786356,0.8312387791741472,0.9131059245960503,37,True
LK1127020,0.9299820466786356,0.8797127468581688,0.9299820466786356,0.909874326750449,38,True
LK1103095,0.9838420107719928,0.8258527827648114,0.9210053859964094,0.9080789946140038,39,True
LK1133080,0.9192100538599641,0.9497307001795332,0.800718132854578,0.9077199281867147,40,True
LK1130025,0.9730700179533214,0.8850987432675045,0.822262118491921,0.9077199281867145,41,True
LK1131020,0.8940754039497307,0.9353680430879713,0.8761220825852782,0.9070017953321364,42,True
LK1103145,0.9551166965888689,0.8420107719928187,0.9371633752244165,0.9062836624775585,43,True
LK1133015,0.8779174147217235,0.9892280071813285,0.7971274685816876,0.9062836624775583,44,True
LK1103050,0.8833034111310593,0.8994614003590664,0.9622980251346499,0.9055655296229803,45,True
LK1103150,0.895870736086176,0.8886894075403949,0.9515260323159784,0.9041292639138242,46,True
LK1127100,0.8886894075403949,0.9317773788150808,0.8725314183123878,0.9026929982046679,47,True
LK1106035,0.947935368043088,0.8868940754039497,0.8438061041292639,0.9026929982046679,48,True
LK1106110,0.8312387791741472,0.9622980251346499,0.9156193895870736,0.9005385996409336,49,True
LK1130020,0.9856373429084381,0.8653500897666068,0.7881508078994613,0.8980251346499102,50,True
LK1133030,0.9605026929982047,0.9210053859964094,0.725314183123878,0.8976660682226213,51,True
LK1130005,0.8904847396768402,0.9048473967684022,0.8976660682226212,0.8976660682226212,52,True
LK1103035,0.9084380610412927,0.8402154398563735,0.9784560143626571,0.8951526032315978,53,True
LK1130055,0.8635547576301615,0.9694793536804309,0.7989228007181328,0.8929982046678635,54,True
LK1127025,0.9353680430879713,0.8473967684021544,0.8994614003590664,0.8929982046678635,55,True
