zone_id,value,gi_z,p_norm,p_sim,p_adjusted,significant,confidence_class
LK1103005,39.23182612246749,1.3617123884564382,0.17328867004341753,0.242,0.2936688453159041,False,ns
LK1103010,38.49052293844393,2.4399417653348805,0.014689629708892347,0.016,0.042236966824644555,True,hot_95
LK1103015,39.8966544091593,2.8972858088196105,0.003764066685980515,0.013,0.036756345177664976,True,hot_95
LK1103020,40.43247014116988,2.6481958342584537,0.008092263302186316,0.022,0.05281896551724138,False,hot_90
LK1103025,40.2947995693237,3.8712888968617736,0.00010826139157468434,0.001,0.006054347826086957,True,hot_99
LK1103030,39.401354577887446,3.405085362094296,0.0006614337470640558,0.002,0.008912000000000002,True,hot_99
LK1103035,40.38006055096527,4.283652931101029,1.8384962642327588e-05,0.001,0.006054347826086957,True,hot_99
LK1103040,41.43816349128265,5.65013284543328,1.6032388861610466e-08,0.001,0.006054347826086957,True,hot_99
LK1103045,41.04378519820342,4.851440466443837,1.2256800246222208e-06,0.001,0.006054347826086957,True,hot_99
LK1103050,41.248239019764895,4.073405231156781,4.633070875784448e-05,0.001,0.006054347826086957,True,hot_99
LK1103055,41.39408801676248,4.164531633829518,3.119923690639764e-05,0.001,0.006054347826086957,True,hot_99
LK1103060,41.155301089160695,4.052274885756733,5.072202010069796e-05,0.001,0.006054347826086957,True,hot_99
LK1103065,40.97478464011833,5.107040360557839,3.272438710796612e-07,0.001,0.006054347826086957,True,hot_99
LK1103070,43.58440931557183,5.424165675072418,5.822585855623545e-08,0.001,0.006054347826086957,True,hot_99
LK1103075,41.90231838104252,5.750406349035202,8.902920868259776e-09,0.001,0.006054347826086957,True,hot_99
LK1103080,42.45408033556284,4.4243815065528835,9.671897156277736e-06,0.002,0.008912000000000002,True,hot_99
LK1103085,41.26941078094535,4.531904672085541,5.845422912865196e-06,0.001,0.006054347826086957,True,hot_99
LK1103090,40.782552603080255,4.291433688369535,1.7752321778175135e-05,0.001,0.006054347826086957,True,hot_99
LK1103095,40.6420681713923,5.195486783031856,2.0418484338696693e-07,0.001,0.006054347826086957,True,hot_99
LK1103100,41.73586808709969,5.038499022882577,4.691968154882289e-07,0.001,0.006054347826086957,True,hot_99
LK1103105,40.363172545152565,3.8231930494554702,0.00013173455811112141,0.002,0.008912000000000002,True,hot_99
LK1103110,40.32858595333421,4.6670749629557555,3.05517887648963e-06,0.001,0.006054347826086957,True,hot_99
LK1103115,41.61481909995396,2.9965096006831216,0.0027308963862671593,0.015,0.04036231884057971,True,hot_95
