level,epoch,variable,status,n,n_missing,morans_i,expectation,z_norm,p_norm,z_sim,p_sim,permutations
ds,2000s,LST_C,ok,13,,0.5766295773514036,-0.08333333333333333,3.6749512879719375,0.00023789479898473584,3.4147916694450986,0.003,999
ds,2000s,NDVI,ok,13,,0.4156492537492998,-0.08333333333333333,2.7785450839537624,0.0054602935460555104,2.6190428661289817,0.016,999
ds,2000s,NDBI,ok,13,,0.44728886165697884,-0.08333333333333333,2.9547277389920787,0.003129450865202549,2.673977611672912,0.013,999
ds,2000s,built_fraction,ok,13,,0.6434047170176398,-0.08333333333333333,4.046783373605861,5.192625429797112e-05,3.74488819272241,0.002,999
ds,2000s,pop_density,ok,13,,0.5105116121582599,-0.08333333333333333,3.306778626431722,0.0009437544216319152,3.331170294782448,0.002,999
ds,2000s,elevation_m,ok,13,,0.5652563202791493,-0.08333333333333333,3.6116202051952526,0.00030428998241049905,4.04938039446999,0.001,999
ds,2000s,dist_coast_km,ok,13,,0.527527097063272,-0.08333333333333333,3.4015280087905926,0.0006701026142487013,3.279055635463358,0.003,999
ds,2010s,LST_C,ok,13,,0.6424173692659916,-0.08333333333333333,4.04128540571577,5.315901329162664e-05,3.7906445118970695,0.002,999
ds,2010s,NDVI,ok,13,,0.5067969483930277,-0.08333333333333333,3.2860938149560903,0.0010158716970322115,3.0400022705129564,0.005,999
ds,2010s,NDBI,ok,13,,0.5794930190203531,-0.08333333333333333,3.6908961365065625,0.00022346537751133773,3.365381382079855,0.003,999
ds,2010s,built_fraction,ok,13,,0.6757820752575397,-0.08333333333333333,4.227074133038687,2.367496847034604e-05,3.947846085471317,0.001,999
ds,2010s,pop_density,ok,13,,0.5105116121582599,-0.08333333333333333,3.306778626431722,0.0009437544216319152,3.331170294782448,0.002,999
ds,2010s,elevation_m,ok,13,,0.5652563202791493,-0.08333333333333333,3.6116202051952526,0.00030428998241049905,4.04938039446999,0.001,999
ds,2010s,dist_coast_km,ok,13,,0.527527097063272,-0.08333333333333333,3.4015280087905926,0.0006701026142487013,3.279055635463358,0.003,999
ds,2020s,LST_C,ok,13,,0.6707153957186804,-0.08333333333333333,4.198860728625167,2.6826124134438514e-05,4.003155631940607,0.002,999
ds,2020s,NDVI,ok,13,,0.5582881909571497,-0.08333333333333333,3.572818728003044,0.0003531592382444646,3.3061584494942005,0.002,999
