zone_id,beta_intercept,t_intercept,sig_intercept,beta_NDVI,t_NDVI,sig_NDVI,beta_NDBI,t_NDBI,sig_NDBI,beta_built_fraction,t_built_fraction,sig_built_fraction,beta_pop_density,t_pop_density,sig_pop_density,beta_elevation_m,t_elevation_m,sig_elevation_m,beta_dist_coast_km,t_dist_coast_km,sig_dist_coast_km,local_r2
LK1103005,-0.061547980619246746,-1.8199874008815906,False,0.5965885866674326,6.496385808059711,True,1.148273764830064,8.687085165680157,True,0.2260425229944489,5.187434807061492,True,-0.07874395124067916,-3.2477457672993304,True,-0.5532974785234253,-4.435312871409258,True,0.05028545207086958,0.7152250346118015,False,
LK1103010,-0.06154103576314031,-1.8196966781782449,False,0.5966977734870232,6.497716771801484,True,1.1549964150046632,8.677854299972932,True,0.22588587335210839,5.181800838478781,True,-0.0787045470218173,-3.247652970427947,True,-0.5700551601753483,-4.547534535286801,True,0.04602273841056102,0.6548301646736453,False,
LK1103015,-0.061534684985194064,-1.8192462659805309,False,0.5971165553377336,6.501571644090465,True,1.1842930858715777,8.729383064066349,True,0.22539554709647158,5.164863050782919,True,-0.0786313808269546,-3.247769596086383,True,-0.6342278295210056,-4.91098944282199,True,0.0321516126156681,0.4579106742370701,False,
LK1103020,-0.061530487553855644,-1.8192484314576627,False,0.5967742645927042,6.500082587280786,True,1.2036928585455935,8.7445050075595,True,0.2255171987473679,5.168520933044306,True,-0.07862197154660776,-3.2472968594250537,True,-0.6255816434075054,-4.822776658557775,True,0.037120769546636304,0.5276014469333254,False,
LK1103025,-0.061528201446872585,-1.8191006717084355,False,0.5968208274588082,6.501430128405274,True,1.232031187255481,8.965846833783413,True,0.22537024088358762,5.163260055544581,True,-0.07855851676675325,-3.2464856323934717,True,-0.6746669980336558,-5.04714122817005,True,0.030363116885649483,0.43186236670845934,False,
LK1103030,-0.06153324155161931,-1.8190115778204856,False,0.5974258466932287,6.5044636669332165,True,1.2006078078241198,8.75585935737512,True,0.22501088889943116,5.151701018084414,True,-0.07855933291706498,-3.2472859288194265,True,-0.7153988999394644,-5.362770400289774,True,0.020493828405781303,0.2923176901940366,False,
LK1103035,-0.061533658738111764,-1.8187655478469773,False,0.5978644575753179,6.508528751703287,True,1.1815216070732455,8.521552577526775,True,0.22465744660418407,5.139543756744906,True,-0.07848406590330435,-3.247138322184463,True,-0.8917988018093401,-6.244995701156407,True,0.005078955475616046,0.07275638476700673,False,
LK1103040,-0.061527329747188164,-1.818871759838039,False,0.597148511229845,6.504693895284137,True,1.2366371327566998,9.009458812595895,True,0.22492518509191362,5.147906704282887,True,-0.07845439361737434,-3.245392998206747,True,-0.7829783626392285,-5.79946549191224,True,0.013048381255409315,0.1857810152191449,False,
LK1103045,-0.06152888787415915,-1.8187328702494663,False,0.5975112418350818,6.507624932824226,True,1.1809882717891198,8.437729715813283,True,0.22471572660456895,5.140761040932507,True,-0.07843142270905995,-3.2460073415734416,True,-0.9051100313840013,-6.415294789687468,True,-0.00024530928033280296,-0.0035053262902237487,False,
LK1103050,-0.061530781002397665,-1.8186701155366551,False,0.597722511224482,6.509520152993948,True,1.1611461845490134,8.24123529502649,True,0.22458113000527266,5.136308635317052,True,-0.078479047992977,-3.2478366138043855,True,-0.9799943924642982,-6.6538132647853265,True,-0.005870594638227764,-0.08402589290548246,False,
