scheme,year,zone_id,cell_size_m,landscape_area_ha,class_area_ha,class_fraction,n_patches,patch_density_per_100ha,total_edge_m,edge_density_m_per_ha,mean_patch_area_ha,largest_patch_index_pct,aggregation_index_pct,observed_fraction,below_coverage_floor
dynamic_world,2018,LK1103175,10.0,33.07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,False
dynamic_world,2018,LK1106005,10.0,49.050000000000004,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,False
dynamic_world,2018,LK1106010,10.0,58.65,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.9964322120285423,False
dynamic_world,2018,LK1106015,10.0,33.61,0.99,0.02945551919071705,3.0,8.925914906277894,640.0,19.041951800059508,0.33,1.666170782505207,88.76404494382022,0.8543467208947636,True
dynamic_world,2018,LK1106020,10.0,54.57,0.56,0.010262048744731538,4.0,7.330034817665384,650.0,11.911306578706249,0.14,0.5497526113249038,78.35051546391753,1.0,False
dynamic_world,2018,LK1106025,10.0,18.06,0.18,0.009966777408637875,2.0,11.07419712070875,270.0,14.950166112956811,0.09,0.8859357696567,81.48148148148148,1.0,False
dynamic_world,2018,LK1106030,10.0,45.49,0.18,0.003956913607386239,2.0,4.396570674873598,240.0,5.275884809848318,0.09,0.37370850736425587,88.88888888888889,1.0,False
dynamic_world,2018,LK1106035,10.0,43.51,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,False
dynamic_world,2018,LK1106040,10.0,57.870000000000005,4.2700000000000005,0.07378607223086228,3.0,5.184033177812338,2570.0,44.40988422325903,1.4233333333333336,6.272680145152928,89.03940886699507,1.0,False
dynamic_world,2018,LK1106045,10.0,61.54,0.13,0.0021124471888202797,2.0,3.249918752031199,200.0,3.249918752031199,0.065,0.17874553136171595,88.88888888888889,0.9982157339821573,False
dynamic_world,2018,LK1106050,10.0,69.01,0.18,0.002608317635125344,1.0,1.4490653528474133,220.0,3.1879437762643095,0.18,0.2608317635125344,92.5925925925926,1.0,False
dynamic_world,2018,LK1106055,10.0,63.83,4.46,0.06987310042299859,5.0,7.8333072223092595,1890.0,29.609901300329,0.892,4.010653297822341,92.8150765606596,0.957258548290342,False
dynamic_world,2018,LK1106060,10.0,61.54,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.9935421375524701,False
dynamic_world,2018,LK1106065,10.0,140.78,39.36,0.2795851683477767,10.0,7.103281716152862,10870.0,77.21267225458162,3.9360000000000004,13.787469811052706,93.5966950684224,0.968825270112174,False
dynamic_world,2018,LK1106070,10.0,92.03,10.67,0.11594045419971748,9.0,9.779419754427904,4070.0,44.224709333912855,1.1855555555555557,5.074432250353146,92.8916827852998,0.95111616370401,False
dynamic_world,2018,LK1106075,10.0,121.72,21.38,0.17564903056194545,12.0,9.85869208018403,6430.0,52.82615839631942,1.7816666666666665,7.525468287873808,93.13889552952426,1.0,False
dynamic_world,2018,LK1106080,10.0,40.62,1.1300000000000001,0.027818808468734618,1.0,2.461841457410143,620.0,15.263417035942886,1.1300000000000001,2.7818808468734617,95.58823529411765,1.0,False
dynamic_world,2018,LK1106085,10.0,53.550000000000004,4.36,0.08141923436041083,4.0,7.469654528478057,1950.0,36.41456582633053,1.09,6.479925303454714,91.20481927710843,1.0,False
dynamic_world,2018,LK1106090,10.0,36.25,0.8300000000000001,0.02289655172413793,3.0,8.275862068965518,480.0,13.241379310344827,0.27666666666666667,1.8758620689655172,85.71428571428571,1.0,False
dynamic_world,2018,LK1106095,10.0,49.02,0.17,0.00346797225622195,2.0,4.079967360261118,150.0,3.059975520195838,0.085,0.30599755201958384,76.0,1.0,False
dynamic_world,2018,LK1106100,10.0,17.68,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,False
dynamic_world,2018,LK1106105,10.0,32.79,1.43,0.043610856968587984,2.0,6.099420555047271,860.0,26.227508386703263,0.715,4.025617566331198,92.74809160305344,1.0,False
dynamic_world,2018,LK1106110,10.0,25.43,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,False
dynamic_world,2018,LK1106115,10.0,40.050000000000004,0.89,0.02222222222222222,9.0,22.47191011235955,1440.0,35.955056179775276,0.0988888888888889,0.6741573033707865,66.66666666666667,1.0,False
dynamic_world,2018,LK1106120,10.0,28.84,0.29,0.010055478502080443,1.0,3.4674063800277395,170.0,5.894590846047157,0.29,1.0055478502080442,95.74468085106383,1.0,False
dynamic_world,2018,LK1106125,10.0,55.13,0.35000000000000003,0.006348630509704335,3.0,5.441683294032287,360.0,6.530019952838744,0.11666666666666667,0.5260293850897877,84.48275862068965,1.0,False
dynamic_world,2018,LK1106130,10.0,29.22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,False
dynamic_world,2018,LK1106135,10.0,41.910000000000004,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,False
dynamic_world,2018,LK1106140,10.0,30.240000000000002,0.01,0.00033068783068783067,1.0,3.3068783068783065,20.0,0.6613756613756613,0.01,0.03306878306878307,0.0,1.0,False
dynamic_world,2018,LK1106145,10.0,78.53,2.59,0.03298102635935311,3.0,3.8201961033999745,1140.0,14.516745192919903,0.8633333333333333,2.8778810645613144,94.43298969072166,1.0,False
dynamic_world,2018,LK1106150,10.0,99.13,6.7,0.06758801573691113,4.0,4.035105417129023,3060.0,30.868556441037022,1.675,3.7627358014728136,92.1583850931677,1.0,False
dynamic_world,2018,LK1106155,10.0,86.75,11.5,0.13256484149855907,8.0,9.221902017291066,3590.0,41.38328530259366,1.4375,7.066282420749279,93.54838709677419,1.0,False
