scenario,year,fraction_outside,n,within_tolerance,outside_NDVI,outside_NDBI,outside_built_fraction,outside_elevation_m,outside_dist_coast_km,outside_pop_density,outside_lcz_class
business_as_usual,2030,0.000937262894803398,67217,True,0.0,0.0,0.0,4.463156641920943e-05,1.4877188806403143e-05,0.0008777541395777854,0.0
greening,2030,0.000937262894803398,67217,True,0.0,0.0,0.0,4.463156641920943e-05,1.4877188806403143e-05,0.0008777541395777854,0.0
business_as_usual,2036,0.000937262894803398,67217,True,0.0,0.0,0.0,4.463156641920943e-05,1.4877188806403143e-05,0.0008777541395777854,0.0
greening,2036,0.000937262894803398,67217,True,0.0,0.0,0.0,4.463156641920943e-05,1.4877188806403143e-05,0.0008777541395777854,0.0
