method,n_repeats,rmse_mean,rmse_sd,r2_mean,r2_sd,r2_min,r2_max,reportable
spatial_block,5,1.1789029489690752,0.04855759903600056,0.8580540177726693,0.037103075237828395,0.7962855342377009,0.8942797022850946,True
random,5,1.226600457985492,0.030837258292112722,0.862648668294986,0.006032652300963287,0.8560433138128922,0.8697280341852629,False
